facility_id,facility_name,address,city,zip_code,borough,hospital_type,ownership,emergency_services,overall_rating,is_rated,mortality_better,mortality_no_different,mortality_worse,safety_better,safety_no_different,safety_worse,readmission_better,readmission_no_different,readmission_worse,er_wait_min,pct_walked_out,er_wait_vs_national
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,11209,Brooklyn,Acute Care - Veterans Administration,Veterans Health Administration,Yes,4.0,1,2,2,0,0,4,0,0,4,1,,,
330214,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,10016,Manhattan,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,1,8,0,0,5,2,1,8,1,2,203.0,1.0,46.099999999999994
330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,11237,Brooklyn,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,1,0,6,0,1,5,0,0,4,1,218.0,2.0,61.099999999999994
330231,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,11432,Queens,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,1,0,5,0,2,4,0,1,2,1,245.0,1.0,88.1
330233,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,11212,Brooklyn,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,1,0,7,0,3,2,1,0,5,1,228.0,3.0,71.1
330240,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,10037,Manhattan,Acute Care Hospitals,Government - State,Yes,2.0,1,0,5,0,2,4,0,0,3,2,144.0,3.0,-12.900000000000006
330270,HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH STREET,NEW YORK,10021,Manhattan,Acute Care Hospitals,Voluntary non-profit - Private,No,5.0,1,0,2,0,2,1,0,3,0,0,,,
330350,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,445 LENOX ROAD,BROOKLYN,11203,Brooklyn,Acute Care Hospitals,Government - State,Yes,1.0,1,0,5,0,1,6,0,0,4,2,164.0,1.0,7.099999999999994
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,11691,Queens,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,1,0,5,2,0,4,1,0,2,3,233.0,2.0,76.1
330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,11206,Brooklyn,Acute Care Hospitals,Government - Local,Yes,2.0,1,0,3,0,1,5,0,0,1,2,198.0,5.0,41.099999999999994
330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,10457,Bronx,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,1,0,4,0,2,4,0,0,2,2,301.0,8.0,144.1
334004,CREEDMOOR PSYCHIATRIC CENTER,80-45 WINCHESTER BLVD BLDG B,QUEENS VILLAGE,11427,Queens,Psychiatric,Government - State,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
334009,NEW YORK STATE PSYCHIATRIC INSTITUTE,722 W 168TH ST,NEW YORK,10032,Manhattan,Psychiatric,Government - State,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
334043,SOUTH BEACH PSYCHIATRIC CENTER,777 SEAVIEW AVE,STATEN ISLAND,10305,Staten Island,Psychiatric,Government - State,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
334048,GRACIE SQUARE HOSP,420 EAST 76 ST,NEW YORK,10021,Manhattan,Psychiatric,Voluntary non-profit - Private,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
334053,BRONX PSYCHIATRIC CENTER,1500 WATERS PLACE,BRONX,10461,Bronx,Psychiatric,Government - State,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
334054,MANHATTAN PSYCHIATRIC CENTER,600 E 125TH STREET,NEW YORK,10035,Manhattan,Psychiatric,Government - State,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
334060,KIRBY FORENSIC PSYCHIATRIC CENTER,WARD ISLAND,NEW YORK,10035,Manhattan,Psychiatric,Government - State,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
334063,KINGSBORO PSYCHIATRIC HOSPITAL,681 CLARKSON AVENUE,BROOKLYN,11203,Brooklyn,Psychiatric,Government - State,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
334067,NEW YORK CITY CHILDRENS PSYCH CENTER,7403 COMMONWEALTH BLVD,BELLEROSE,11426,Queens,Psychiatric,Government - State,No,,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,
